invoice,custID,prodID,salesDate,amt,qty,discounted
166,39,17,11/27/2006,287,34,0
166,39,42,11/27/2006,230,119,0
167,39,80,11/27/2007,319,195,0
168,39,37,11/27/2008,267,74,0
168,39,2,11/27/2008,366,169,0
168,39,49,11/27/2008,351,100,0
169,39,98,11/27/2009,264,187,0
170,26,50,6/26/2009,377,113,0
171,34,73,4/27/2010,163,139,0
171,34,99,4/27/2010,167,103,0
172,26,74,6/26/2006,187,11,0
172,26,40,6/26/2006,175,56,0
172,26,1,6/26/2006,137,14,0
172,26,16,6/26/2006,352,29,0
173,26,48,6/26/2005,258,183,0
174,6,35,9/18/2007,115,64,0
175,18,97,4/30/2009,172,199,0
176,3,51,7/15/2010,284,44,0
177,9,21,4/12/2009,238,153,0
178,23,72,8/2/2010,223,29,0
179,6,49,9/18/2005,212,111,0
179,6,3,9/18/2005,330,144,0
180,18,72,4/30/2005,217,155,0
181,18,12,4/30/2007,101,122,0
182,18,65,4/30/2006,145,42,0
182,18,25,4/30/2006,210,171,0
183,38,72,7/8/2010,130,106,0
183,38,60,7/8/2010,305,97,0
183,38,92,7/8/2010,355,61,0
184,31,92,9/11/2005,313,22,0
185,31,83,9/11/2006,349,38,0
185,31,71,9/11/2006,116,19,0
186,31,95,9/11/2007,144,46,0
187,31,91,5/3/2005,188,164,0
188,31,101,5/3/2007,130,101,0
188,31,33,5/3/2007,244,152,0
188,31,52,5/3/2007,207,197,0
188,31,104,5/3/2007,394,73,0
189,31,82,5/3/2006,291,14,0
190,31,77,5/3/2009,395,21,0
191,31,42,5/3/2008,210,105,0
192,31,96,9/11/2008,392,75,0
193,27,36,9/6/2010,175,123,0
194,10,9,8/26/2008,235,161,0
194,10,75,8/26/2008,101,165,0
195,23,74,3/21/2009,169,79,0
196,18,82,3/16/2006,278,115,0
197,10,54,8/26/2005,143,77,0
197,10,61,8/26/2005,240,128,0
198,23,88,3/21/2006,117,77,0
199,10,11,8/26/2007,160,42,0
199,10,54,8/26/2007,315,130,0
200,29,13,7/9/2008,115,53,0
201,29,55,7/9/2009,298,148,0
201,29,81,7/9/2009,365,195,0
201,29,34,7/9/2009,142,47,0
201,29,67,7/9/2009,109,139,0
202,32,94,3/29/2006,332,113,0
203,32,45,3/29/2005,364,112,0
203,32,6,3/29/2005,219,101,0
204,32,17,3/29/2008,179,90,0
205,32,42,3/29/2009,310,57,0
206,29,73,7/9/2005,258,41,0
207,35,86,8/30/2010,268,41,0
207,35,38,8/30/2010,242,81,0
208,26,62,12/4/2005,382,157,0
209,25,36,7/1/2009,382,88,0
210,25,12,7/1/2005,192,169,0
210,25,38,7/1/2005,397,66,0
210,25,54,7/1/2005,300,99,0
211,25,75,7/1/2006,264,84,0
211,25,59,7/1/2006,325,155,0
212,12,53,2/22/2010,166,190,0
213,26,31,2/26/2007,155,150,0
214,32,102,8/26/2005,374,105,0
214,32,23,8/26/2005,112,101,0
214,32,41,8/26/2005,342,70,0
215,3,100,10/14/2009,112,85,0
216,3,63,10/14/2008,389,139,0
217,4,28,2/16/2009,349,69,0
218,3,77,10/14/2007,246,146,0
219,32,15,8/26/2009,347,44,0
220,26,58,2/26/2009,261,152,0
220,26,60,2/26/2009,252,182,0
221,26,77,2/26/2008,100,176,0
221,26,60,2/26/2008,297,57,0
221,26,79,2/26/2008,249,126,0
222,21,38,8/1/2009,142,105,0
223,33,34,7/16/2009,132,145,0
224,33,92,7/16/2008,213,82,0
225,4,84,9/22/2010,337,159,0
225,4,67,9/22/2010,268,13,0
226,31,66,6/1/2009,298,197,0
227,16,91,7/28/2007,178,64,0
227,16,94,7/28/2007,272,41,0
228,20,38,2/20/2008,165,143,0
229,7,95,2/12/2008,119,112,0
229,7,54,2/12/2008,250,48,0
230,7,30,8/6/2010,363,111,0
231,11,14,8/19/2009,391,193,0
231,11,52,8/19/2009,334,31,0
232,7,19,2/12/2009,126,69,0
233,16,76,7/28/2009,329,117,0
234,16,103,7/28/2008,159,64,0
234,16,88,7/28/2008,301,67,0
234,16,12,7/28/2008,159,171,0
235,20,89,2/20/2005,379,41,0
235,20,18,2/20/2005,400,161,0
235,20,33,2/20/2005,209,33,0
236,23,91,5/15/2006,152,158,0
236,23,60,5/15/2006,395,28,0
236,23,92,5/15/2006,186,127,0
237,23,87,5/15/2005,323,64,0
238,29,102,12/31/2006,277,167,0
239,29,18,12/31/2005,122,165,0
240,38,101,10/17/2009,249,188,0
241,14,22,2/28/2009,385,109,0
242,16,6,11/4/2008,222,179,0
242,16,105,11/4/2008,136,62,0
243,7,5,2/12/2005,305,28,0
244,11,18,10/12/2009,157,90,0
245,4,64,2/16/2007,374,184,0
245,4,52,2/16/2007,163,48,0
246,35,97,11/9/2006,387,35,0
247,35,70,11/9/2007,297,52,0
247,35,58,11/9/2007,356,85,0
248,11,60,10/12/2005,167,137,0
248,11,26,10/12/2005,147,196,0
249,35,49,11/9/2005,275,167,0
249,35,45,11/9/2005,127,35,0
250,27,85,4/12/2010,271,164,0
250,27,40,4/12/2010,239,166,0
251,38,6,5/22/2010,212,77,0
252,25,58,10/6/2010,187,173,0
253,32,15,5/13/2010,323,18,0
253,32,104,5/13/2010,147,103,0
254,3,89,2/9/2010,400,121,0
255,19,87,5/20/2009,101,158,0
255,19,53,5/20/2009,157,190,0
255,19,14,5/20/2009,324,77,0
256,3,24,1/22/2008,290,164,0
257,19,91,12/30/2007,295,177,0
258,12,33,4/3/2009,255,27,0
258,12,24,4/3/2009,287,53,0
259,19,70,12/30/2006,304,127,0
260,12,29,7/4/2008,276,139,0
261,20,85,6/20/2007,244,37,0
262,20,45,6/20/2006,348,115,0
262,20,92,6/20/2006,106,166,0
263,20,65,11/20/2006,163,138,0
264,17,21,10/27/2009,321,102,0
264,17,10,10/27/2009,261,105,0
265,17,61,10/27/2008,299,98,0
265,17,97,10/27/2008,219,119,0
265,17,55,10/27/2008,283,133,0
266,26,15,3/5/2010,249,10,0
266,26,58,3/5/2010,369,167,0
267,20,68,6/20/2008,162,151,0
268,26,39,12/21/2009,154,32,0
269,26,78,12/21/2008,342,149,0
269,26,64,12/21/2008,172,143,0
270,7,10,6/27/2007,156,70,0
270,7,42,6/27/2007,373,45,0
271,36,7,10/19/2009,322,200,0
272,36,5,10/19/2008,115,31,0
273,36,100,10/19/2006,348,72,0
273,36,77,10/19/2006,287,181,0
273,36,45,10/19/2006,271,163,0
274,7,99,6/27/2008,310,175,0
275,26,61,12/21/2005,371,176,0
275,26,16,12/21/2005,143,120,0
276,26,52,12/21/2007,300,36,0
276,26,13,12/21/2007,284,112,0
276,26,86,12/21/2007,339,170,0
277,3,93,2/28/2008,248,142,0
278,5,74,4/12/2006,119,64,0
278,5,25,4/12/2006,156,70,0
279,3,40,2/28/2005,164,106,0
280,3,68,2/28/2007,116,172,0
280,3,44,2/28/2007,246,84,0
281,3,93,2/28/2006,331,192,0
282,22,94,12/11/2008,159,163,0
282,22,96,12/11/2008,156,21,0
283,22,82,12/11/2009,136,151,0
283,22,61,12/11/2009,237,118,0
284,2,76,5/23/2007,214,46,0
285,8,70,4/10/2005,312,124,0
286,32,84,7/29/2008,308,85,0
286,32,3,7/29/2008,154,129,0
286,32,49,7/29/2008,169,44,0
286,32,42,7/29/2008,174,127,0
287,15,76,9/12/2006,170,198,0
287,15,87,9/12/2006,308,56,0
287,15,20,9/12/2006,106,37,0
288,15,61,9/12/2009,175,184,0
288,15,56,9/12/2009,362,143,0
288,15,34,9/12/2009,377,113,0
289,15,104,9/12/2008,217,159,0
290,32,7,7/29/2005,227,105,0
291,22,20,12/11/2005,282,149,0
292,22,32,12/11/2006,195,96,0
292,22,41,12/11/2006,271,152,0
293,22,58,12/11/2007,307,165,0
294,39,91,3/13/2008,248,64,0
294,39,79,3/13/2008,114,168,0
294,39,78,3/13/2008,194,91,0
294,39,9,3/13/2008,305,111,0
295,37,57,5/2/2010,111,110,0
295,37,47,5/2/2010,187,104,0
295,37,20,5/2/2010,153,31,0
295,37,105,5/2/2010,336,194,0
295,37,37,5/2/2010,184,52,0
296,2,92,1/10/2009,183,66,0
297,25,18,1/22/2010,310,184,0
297,25,43,1/22/2010,170,139,0
298,40,18,12/5/2009,377,138,0
298,40,99,12/5/2009,336,158,0
299,39,51,3/13/2006,193,93,0
300,39,33,3/13/2007,309,126,0
300,39,45,3/13/2007,264,34,0
300,39,41,3/13/2007,364,94,0
301,28,89,5/16/2009,365,168,0
301,28,66,5/16/2009,219,156,0
302,28,84,5/16/2008,209,84,0
303,4,99,8/6/2008,288,155,0
304,40,56,12/5/2008,207,24,0
304,40,6,12/5/2008,323,46,0
304,40,15,12/5/2008,190,99,0
304,40,54,12/5/2008,292,185,0
305,40,37,1/21/2010,342,117,0
305,40,24,1/21/2010,272,188,0
306,4,34,9/14/2010,122,167,0
307,28,13,5/16/2007,195,166,0
308,4,49,8/6/2005,145,56,0
309,27,89,12/26/2005,234,61,0
310,9,48,5/8/2005,151,147,0
311,27,105,12/26/2007,350,187,0
312,36,9,9/12/2009,276,21,0
313,9,92,5/8/2008,384,103,0
313,9,28,5/8/2008,362,90,0
314,9,11,5/8/2009,361,168,0
314,9,31,5/8/2009,397,109,0
315,36,68,9/12/2005,248,189,0
315,36,14,9/12/2005,302,189,0
315,36,77,9/12/2005,349,47,0
316,4,31,11/11/2005,107,21,0
316,4,92,11/11/2005,378,113,0
317,4,94,11/11/2006,390,173,0
318,4,31,8/30/2006,146,90,0
319,5,20,12/27/2008,382,178,0
320,26,93,1/29/2010,309,26,0
320,26,86,1/29/2010,191,43,0
320,26,64,1/29/2010,132,195,0
321,21,13,2/16/2010,296,98,0
322,4,19,11/11/2009,333,185,0
322,4,26,11/11/2009,386,189,0
323,31,22,5/21/2010,149,140,0
324,20,75,4/6/2009,123,153,0
325,20,74,4/6/2008,207,110,0
326,20,48,4/6/2005,372,187,0
326,20,39,4/6/2005,278,66,0
327,4,88,9/9/2006,289,46,0
328,20,49,4/6/2007,318,179,0
329,20,35,4/6/2006,248,192,0
330,34,41,6/29/2010,140,196,0
331,34,1,5/7/2007,199,36,0
331,34,55,5/7/2007,213,137,0
332,37,45,8/24/2005,399,124,0
333,37,34,8/24/2007,147,32,0
334,15,17,3/28/2008,120,100,0
335,20,16,5/3/2005,218,155,0
336,11,14,9/20/2007,347,165,0
337,38,24,1/22/2010,338,16,0
338,37,36,8/24/2009,311,89,0
338,37,97,8/24/2009,196,181,0
339,37,70,8/24/2008,283,175,0
340,30,101,1/11/2005,354,168,0
341,2,102,5/11/2007,395,185,0
342,21,40,8/25/2005,133,65,0
342,21,37,8/25/2005,100,53,0
343,21,58,8/25/2009,207,119,0
343,21,86,8/25/2009,208,187,0
343,21,12,8/25/2009,242,196,0
344,21,40,8/25/2008,358,179,0
344,21,85,8/25/2008,118,105,0
344,21,4,8/25/2008,107,173,0
344,21,44,8/25/2008,243,108,0
344,21,57,8/25/2008,368,168,0
345,7,81,6/17/2009,306,75,0
345,7,105,6/17/2009,295,134,0
345,7,57,6/17/2009,131,98,0
345,7,28,6/17/2009,199,174,0
346,30,5,1/11/2008,161,168,0
347,6,59,12/18/2006,210,111,0
347,6,55,12/18/2006,322,58,0
348,6,76,12/18/2005,306,186,0
348,6,45,12/18/2005,120,99,0
348,6,7,12/18/2005,302,144,0
349,30,83,6/30/2010,319,89,0
349,30,48,6/30/2010,124,88,0
350,26,95,1/21/2006,280,84,0
350,26,21,1/21/2006,314,165,0
351,6,7,12/18/2008,202,120,0
351,6,31,12/18/2008,226,168,0
352,23,39,6/6/2010,281,71,0
353,30,77,4/1/2007,387,194,0
354,30,71,4/1/2006,378,127,0
355,37,105,4/6/2007,256,188,0
355,37,88,4/6/2007,357,180,0
356,21,2,9/12/2005,144,149,0
357,20,33,3/12/2005,251,190,0
357,20,58,3/12/2005,249,175,0
358,6,3,12/8/2005,299,126,0
359,6,79,12/8/2007,230,148,0
360,6,62,12/8/2006,273,97,0
361,37,62,4/6/2009,188,105,0
361,37,78,4/6/2009,257,126,0
362,30,34,4/1/2009,149,47,0
363,1,22,10/28/2010,365,184,0
363,1,91,10/28/2010,249,138,0
363,1,29,10/28/2010,251,125,0
363,1,89,10/28/2010,389,136,0
363,1,19,10/28/2010,186,169,0
364,28,27,7/6/2008,245,106,0
365,28,36,7/6/2009,304,139,0
366,5,92,11/7/2009,209,17,0
366,5,61,11/7/2009,137,104,0
367,27,4,2/9/2005,114,192,0
367,27,69,2/9/2005,128,46,0
368,14,57,3/28/2006,252,112,0
369,27,50,2/9/2007,391,80,0
369,27,39,2/9/2007,207,29,0
369,27,89,2/9/2007,162,120,0
370,27,67,2/9/2006,251,124,0
371,27,16,2/9/2009,269,99,0
372,27,87,2/9/2008,275,145,0
372,27,76,2/9/2008,195,80,0
373,14,37,3/28/2009,389,140,0
373,14,58,3/28/2009,370,56,0
374,5,18,11/7/2006,161,171,0
374,5,14,11/7/2006,347,195,0
375,5,5,11/7/2007,351,12,0
376,28,25,7/6/2007,218,39,0
377,8,93,11/10/2005,270,150,0
377,8,37,11/10/2005,381,109,0
378,8,86,11/10/2007,288,109,0
379,8,48,11/10/2006,356,123,0
379,8,59,11/10/2006,240,155,0
379,8,96,11/10/2006,240,92,0
380,8,53,11/10/2008,260,17,0
381,32,21,12/3/2006,304,196,0
381,32,32,12/3/2006,344,114,0
382,32,36,12/3/2007,243,151,0
382,32,84,12/3/2007,131,134,0
382,32,28,12/3/2007,295,10,0
383,5,88,10/12/2009,387,180,0
384,2,93,6/23/2008,303,114,0
385,8,4,8/6/2007,379,162,0
386,8,38,2/24/2007,177,47,0
386,8,29,2/24/2007,344,48,0
386,8,28,2/24/2007,172,126,0
387,8,32,2/24/2009,382,160,0
387,8,83,2/24/2009,153,39,0
388,24,60,2/6/2010,390,59,0
388,24,102,2/6/2010,378,151,0
389,8,80,8/6/2008,340,198,0
389,8,35,8/6/2008,275,63,0
390,27,55,7/18/2009,153,133,0
390,27,25,7/18/2009,320,191,0
390,27,45,7/18/2009,175,124,0
391,40,15,12/18/2009,231,23,0
392,25,52,12/16/2008,279,144,0
393,15,66,9/11/2009,146,190,0
393,15,104,9/11/2009,271,107,0
394,12,28,9/4/2005,377,31,0
395,12,82,9/4/2007,217,169,0
395,12,89,9/4/2007,104,27,0
396,7,94,6/17/2006,200,43,0
397,12,54,9/4/2009,238,183,0
398,12,73,9/4/2008,319,98,0
399,25,21,12/16/2006,343,37,0
400,25,43,12/16/2007,362,179,0
401,25,87,12/16/2005,148,150,0
402,24,57,2/16/2005,231,28,0
403,1,23,8/12/2009,146,106,0
404,31,87,5/26/2007,190,180,0
404,31,45,5/26/2007,290,15,0
405,24,56,11/23/2006,370,183,0
406,31,85,5/26/2005,110,49,0
407,24,93,11/23/2008,317,95,0
407,24,90,11/23/2008,266,198,0
408,24,91,11/23/2009,249,71,0
408,24,15,11/23/2009,386,197,0
408,24,27,11/23/2009,370,197,0
409,31,33,5/26/2008,184,92,0
410,31,12,5/26/2009,301,63,0
411,1,44,8/12/2006,129,52,0
412,1,98,8/12/2007,221,160,0
413,18,104,7/30/2010,356,22,0
414,34,57,1/20/2007,259,88,0
415,34,15,1/20/2005,223,82,0
415,34,37,1/20/2005,145,80,0
415,34,94,1/20/2005,125,12,0
416,15,11,2/2/2008,108,77,0
416,15,13,2/2/2008,337,155,0
416,15,47,2/2/2008,133,111,0
417,15,41,2/2/2007,361,104,0
418,34,70,1/20/2009,267,117,0
419,34,29,1/20/2008,315,179,0
420,28,43,1/16/2005,174,145,0
421,1,88,11/5/2006,297,192,0
421,1,58,11/5/2006,384,100,0
422,28,47,1/16/2006,231,73,0
422,28,38,1/16/2006,165,77,0
423,2,47,9/14/2010,159,34,0
423,2,9,9/14/2010,333,34,0
424,1,5,11/5/2008,229,198,0
424,1,51,11/5/2008,315,41,0
425,28,21,1/16/2008,306,103,0
425,28,81,1/16/2008,194,155,0
425,28,6,1/16/2008,290,75,0
426,1,79,12/12/2006,182,159,0
426,1,71,12/12/2006,290,105,0
427,15,20,11/11/2009,390,110,0
428,27,32,11/7/2009,400,162,0
428,27,57,11/7/2009,359,63,0
429,27,84,11/7/2007,359,25,0
430,27,53,11/7/2006,258,198,0
431,15,13,11/11/2008,278,100,0
431,15,5,11/11/2008,163,138,0
431,15,58,11/11/2008,214,22,0
432,4,28,1/16/2006,185,80,0
432,4,39,1/16/2006,307,12,0
433,10,93,1/21/2008,315,189,0
434,10,2,1/21/2009,363,118,0
435,11,43,4/22/2009,244,138,0
436,4,59,1/16/2007,118,176,0
436,4,74,1/16/2007,219,102,0
437,11,86,12/23/2005,163,95,0
437,11,29,12/23/2005,395,135,0
437,11,51,12/23/2005,245,127,0
438,10,55,1/21/2005,377,44,0
439,10,26,1/21/2006,327,95,0
440,11,67,12/23/2006,358,175,0
441,15,72,11/11/2005,230,31,0
441,15,60,11/11/2005,355,94,0
442,4,29,9/30/2008,205,158,0
442,4,36,9/30/2008,357,42,0
443,24,98,11/27/2007,391,191,0
444,26,53,7/20/2007,235,163,0
444,26,55,7/20/2007,334,75,0
444,26,84,7/20/2007,197,112,0
445,26,95,7/20/2005,235,60,0
445,26,83,7/20/2005,136,169,0
446,26,48,7/20/2008,143,61,0
446,26,95,7/20/2008,268,113,0
446,26,59,7/20/2008,214,118,0
447,4,49,9/30/2006,282,184,0
448,4,54,9/30/2007,157,170,0
448,4,96,9/30/2007,379,61,0
449,16,3,9/5/2010,188,129,0
449,16,94,9/5/2010,329,130,0
450,9,35,11/7/2006,257,42,0
